XOR V4, pulse= 10, i= 9.0, temp= 100
XOR V4, pulse= 11, i= 11.0, temp= 100
XOR V5, pulse= 00, i= 11.0, temp= 100
XOR V5, pulse= 01, i= 9.5, temp= 100
XOR V5, pulse= 10, i= 9.5, temp= 100
XOR V5, pulse= 11, i= 11.0, temp= 100
XOR V6, pulse= 00, i= 22.5, temp= 100
XOR V6, pulse= 01, i= 20.5, temp= 100
XOR V6, pulse= 10, i= 20.5, temp= 100
XOR V6, pulse= 11, i= 22.5, temp= 100
XOR V7, pulse= 00, i= 22.5, temp= 100
XOR V7, pulse= 01, i= 20.5, temp= 100
XOR V7, pulse= 10, i= 20.5, temp= 100
XOR V7, pulse= 11, i= 22.5, temp= 100
XOR V8, pulse= 00, i= 11.0, temp= 100
XOR V8, pulse= 01, i= 9.0, temp= 100
XOR V8, pulse= 10, i= 9.5, temp= 100
XOR V8, pulse= 11, i= 10.5, temp= 100
XOR V9, pulse= 00, i= 22.5, temp= 100
XOR V9, pulse= 01, i= 20.5, temp= 100
XOR V9, pulse= 10, i= 20.5, temp= 100
XOR V9, pulse= 11, i= 22.5, temp= 100
XOR V1, pulse= 00, i= 9.5, temp= 125
XOR V1, pulse= 01, i= 8.0, temp= 125
XOR V1, pulse= 10, i= 8.0, temp= 125
XOR V1, pulse= 11, i= 9.5, temp= 125
XOR V2, pulse= 00, i= 20.0, temp= 125
XOR V2, pulse= 01, i= 17.5, temp= 125
XOR V2, pulse= 10, i= 17.5, temp= 125
XOR V2, pulse= 11, i= 20.0, temp= 125
XOR V3, pulse= 00, i= 9.5, temp= 125
XOR V3, pulse= 01, i= 8.5, temp= 125
XOR V3, pulse= 10, i= 10711.0, temp= 125
XOR V3, pulse= 11, i= 17.0, temp= 125
XOR V4, pulse= 00, i= 9.5, temp= 125
XOR V4, pulse= 01, i= 8.0, temp= 125
XOR V4, pulse= 10, i= 8.0, temp= 125
XOR V4, pulse= 11, i= 10.0, temp= 125
XOR V5, pulse= 00, i= 10.0, temp= 125
XOR V5, pulse= 01, i= 8.5, temp= 125
XOR V5, pulse= 10, i= 8.5, temp= 125
XOR V5, pulse= 11, i= 10.0, temp= 125
XOR V6, pulse= 00, i= 20.0, temp= 125
XOR V6, pulse= 01, i= 17.5, temp= 125
XOR V6, pulse= 10, i= 17.5, temp= 125
XOR V6, pulse= 11, i= 20.0, temp= 125
XOR V7, pulse= 00, i= 20.0, temp= 125
XOR V7, pulse= 01, i= 17.5, temp= 125
XOR V7, pulse= 10, i= 17.5, temp= 125
XOR V7, pulse= 11, i= 20.0, temp= 125
XOR V8, pulse= 00, i= 10.0, temp= 125
XOR V8, pulse= 01, i= 22960.5, temp= 125
XOR V8, pulse= 10, i= 1.0, temp= 125
XOR V8, pulse= 11, i= 0.5, temp= 125
XOR V9, pulse= 00, i= 0.5, temp= 125
XOR V9, pulse= 01, i= 0.5, temp= 125
XOR V9, pulse= 10, i= 0.5, temp= 125
XOR V9, pulse= 11, i= 0.5, temp= 125

