XOR V4, pulse= 11, i= 74.0, temp= 100
XOR V5, pulse= 00, i= 71.0, temp= 100
XOR V5, pulse= 01, i= 61.5, temp= 100
XOR V5, pulse= 10, i= 61.5, temp= 100
XOR V5, pulse= 11, i= 71.0, temp= 100
XOR V6, pulse= 00, i= 101.5, temp= 100
XOR V6, pulse= 01, i= 89.5, temp= 100
XOR V6, pulse= 10, i= 89.5, temp= 100
XOR V6, pulse= 11, i= 101.5, temp= 100
XOR V7, pulse= 00, i= 101.5, temp= 100
XOR V7, pulse= 01, i= 89.5, temp= 100
XOR V7, pulse= 10, i= 89.5, temp= 100
XOR V7, pulse= 11, i= 101.5, temp= 100
XOR V8, pulse= 00, i= 73.5, temp= 100
XOR V8, pulse= 01, i= 49.0, temp= 100
XOR V8, pulse= 10, i= 63.5, temp= 100
XOR V8, pulse= 11, i= 59.5, temp= 100
XOR V9, pulse= 00, i= 101.5, temp= 100
XOR V9, pulse= 01, i= 89.5, temp= 100
XOR V9, pulse= 10, i= 89.5, temp= 100
XOR V9, pulse= 11, i= 102.0, temp= 100
XOR V1, pulse= 00, i= 59.0, temp= 125
XOR V1, pulse= 01, i= 48.5, temp= 125
XOR V1, pulse= 10, i= 48.5, temp= 125
XOR V1, pulse= 11, i= 59.0, temp= 125
XOR V2, pulse= 00, i= 103.0, temp= 125
XOR V2, pulse= 01, i= 90.0, temp= 125
XOR V2, pulse= 10, i= 90.0, temp= 125
XOR V2, pulse= 11, i= 103.5, temp= 125
XOR V3, pulse= 00, i= 59.0, temp= 125
XOR V3, pulse= 01, i= 61.0, temp= 125
XOR V3, pulse= 10, i= 61.0, temp= 125
XOR V3, pulse= 11, i= 125.5, temp= 125
XOR V4, pulse= 00, i= 59.0, temp= 125
XOR V4, pulse= 01, i= 61.5, temp= 125
XOR V4, pulse= 10, i= 48.0, temp= 125
XOR V4, pulse= 11, i= 75.0, temp= 125
XOR V5, pulse= 00, i= 71.5, temp= 125
XOR V5, pulse= 01, i= 61.0, temp= 125
XOR V5, pulse= 10, i= 61.5, temp= 125
XOR V5, pulse= 11, i= 71.5, temp= 125
XOR V6, pulse= 00, i= 103.0, temp= 125
XOR V6, pulse= 01, i= 90.0, temp= 125
XOR V6, pulse= 10, i= 90.0, temp= 125
XOR V6, pulse= 11, i= 103.0, temp= 125
XOR V7, pulse= 00, i= 103.0, temp= 125
XOR V7, pulse= 01, i= 90.0, temp= 125
XOR V7, pulse= 10, i= 90.0, temp= 125
XOR V7, pulse= 11, i= 103.0, temp= 125
XOR V8, pulse= 00, i= 75.0, temp= 125
XOR V8, pulse= 01, i= 48.0, temp= 125
XOR V8, pulse= 10, i= 63.5, temp= 125
XOR V8, pulse= 11, i= 58.5, temp= 125
XOR V9, pulse= 00, i= 102.5, temp= 125
XOR V9, pulse= 01, i= 90.0, temp= 125
XOR V9, pulse= 10, i= 90.0, temp= 125
XOR V9, pulse= 11, i= 103.0, temp= 125

